# Program:featureCounts v2.0.7; Command:"featureCounts" "-a" "gtf_test.gtf" "-o" "SRR23584814_small_counts.txt" "SRR23584814_small_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR23584814_small_Aligned.sortedByCoord.out.bam
ENSG00000237094.7	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	317720;317730;319968;320162;320162;320335;320881;320881;320881;321032;321032;321032;322038;322038;322038;322078;322672;323861;324288;324288;324288;324439;324439;324751;324756;327552;329784;334129;334129;334129;334129;342392;439365;439467;446014;446014;450887;453217;453645;453645;453645	317781;317781;320353;320653;320653;320653;320938;320938;320938;321264;321290;321056;322203;322097;322228;322228;323073;324060;324345;324345;324345;324461;324873;324955;326514;328453;329976;334271;334297;334297;334505;342806;439568;439568;446193;446155;451086;453318;453948;453942;453722	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6869	0
ENSG00000250575.1	chr1;chr1	326096;327348	326569;328112	+;+	1239	0
ENSG00000233653.3	chr1;chr1	329431;329950	329620;332236	-;-	2477	0
ENSG00000224813.2	chr1	334126	334305	+	180	0
ENSG00000235249.1	chr1	367640	368634	+	995	0
ENSG00000269732.1	chr1	379105	379467	-	363	0
ENSG00000256186.1	chr1;chr1	450820;450854	450852;450910	-;-	90	0
ENSG00000236601.1	chr1;chr1;chr1;chr1	453633;453827;460380;460408	454166;454166;460465;460480	-;-;-;-	635	0
ENSG00000236743.1	chr1;chr1;chr1	459656;461154;461751	459992;461288;461954	+;+;+	676	0
ENSG00000236679.2	chr1	470971	471355	+	385	0
ENSG00000231709.1	chr1;chr1;chr1	521369;522201;523497	521738;522335;523833	-;-;-	842	0
ENSG00000235146.2	chr1;chr1;chr1;chr1	523009;523048;529615;529615	523081;523109;530148;529954	+;+;+;+	635	0
ENSG00000239664.2	chr1;chr1;chr1;chr1	529833;529839;530463;532679	530136;530136;530597;532878	-;-;-;-	639	0
ENSG00000230021.3	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	536816;543335;637316;639065;639065;646722;647091;655412;655412;655412;655412;655438;659738	536957;543436;637720;639169;639169;647302;647302;655574;655580;655580;655530;655580;659930	-;-;-;-;-;-;-;-;-;-;-;-;-	1697	0
ENSG00000223659.1	chr1;chr1;chr1	562757;563341;564299	563203;563603;564390	-;-;-	802	0
ENSG00000225972.1	chr1	564442	564813	+	372	0
ENSG00000225630.1	chr1	565020	566063	+	1044	0
ENSG00000237973.1	chr1	566454	567996	+	1543	0
ENSG00000229344.1	chr1	568137	568818	+	682	0
ENSG00000240409.1	chr1	568915	569121	+	207	0
ENSG00000248527.1	chr1	569076	569756	+	681	0
ENSG00000198744.5	chr1	569756	570302	+	547	0
ENSG00000268663.1	chr1	610222	610645	+	424	0
ENSG00000185097.2	chr1	621059	622053	-	995	0
ENSG00000229376.3	chr1;chr1	657472;660098	659740;660283	+;+	2455	0
ENSG00000224956.5	chr1;chr1	661611;663054	662372;663527	-;-	1236	0
ENSG00000235373.1	chr1;chr1	677193;682075	678730;685396	-;-	4860	0
ENSG00000223181.1	chr1	693613	693716	-	104	0
ENSG00000240618.1	chr1;chr1	694412;700103	694503;700305	-;-	295	0
ENSG00000229905.1	chr1;chr1	696291;697158	696534;697369	+;+	456	0
ENSG00000228327.2	chr1;chr1;chr1;chr1;chr1;chr1;chr1	700237;701709;703928;704877;708356;709551;713664	700627;701767;703993;705092;708487;709660;714006	-;-;-;-;-;-;-	1317	0
ENSG00000237491.4	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	714150;714162;714310;714317;714436;717317;717317;717317;717317;718491;718491;719750;719750;719750;719750;719750;719750;719750;719750;719750;719750;719750;719750;719750;719750;719776;721180;721320;721773;728262;728262;730850;730850;730850;736987;738947;738947;739299;739299;739299;739299;739299;739302;739331;739331;740156;740156;740156;740156;740156;740156;740156;740156;740179;740312;741766;742597;742597;742597;742597;742597;745002;745038	714472;714472;714472;714472;714472;717516;717516;717571;717423;718743;718743;719873;719873;719873;719873;719873;719873;719873;719873;720139;720357;719873;720035;719809;720070;719873;723052;722513;722246;728421;728421;730962;730893;730962;737256;739047;739047;739602;739602;739602;739602;739602;739602;739602;739602;740346;740650;740346;740507;740346;740507;740212;740255;740346;740346;741839;742845;742703;742701;742694;742703;745440;745109	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5517	0
ENSG00000230092.3	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	736259;736259;741179;741179;743954;743954;745447;745447	736543;736543;741271;741271;744003;744003;745541;745541	-;-;-;-;-;-;-;-	523	0
ENSG00000269831.1	chr1;chr1;chr1	738532;738788;739121	738618;738812;739137	-;-;-	129	0
ENSG00000240453.1	chr1;chr1	745489;752753	745550;753092	-;-	402	0
ENSG00000177757.1	chr1;chr1	752751;754103	753582;755214	+;+	1944	0
ENSG00000225880.4	chr1;chr1	761586;761589	762902;762886	-;-	1317	0
ENSG00000228794.4	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	762988;763041;763047;763049;763053;763079;763079;764383;764383;764383;764383;764383;764383;764383;764443;764443;766985;776580;776580;776580;783034;783034;783034;783034;783034;783034;784864;784864;784864;785558;785561;786728;787307;787307;787307;787307;787307;787307;788051;788051;788051;788051;788051;788771;788771	763155;763155;763155;763155;763155;763155;763155;764484;764484;764484;764484;764484;764484;764484;764484;764484;767057;777400;777118;776753;783186;783186;783186;783186;783186;783186;784982;784982;784982;785731;785731;787490;787490;787490;787490;787378;787367;787490;788132;788146;788146;788146;788146;789006;794826	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8525	0
ENSG00000230368.2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	803451;803620;803783;804007;804908;805466;809492;810420;812126;812126	804055;803910;804055;804055;804955;805581;810535;810535;812182;812283	-;-;-;-;-;-;-;-;-;-	1971	0
ENSG00000234711.1	chr1	808672	809729	+	1058	0
ENSG00000269308.1	chr1;chr1;chr1	818043;819496;819961	818058;819513;819983	+;+;+	57	0
ENSG00000272438.1	chr1;chr1	840214;851130	840337;851356	+;+	351	0
ENSG00000230699.2	chr1;chr1	846815;847325	846853;850328	+;+	3043	0
ENSG00000241180.1	chr1;chr1	849551;850183	849824;850351	+;+	443	0
ENSG00000223764.2	chr1;chr1;chr1;chr1;chr1;chr1;chr1	852245;852250;852750;853402;853402;854205;854715	856396;853100;852866;853914;853490;854295;855072	-;-;-;-;-;-;-	4152	0
ENSG00000187634.6	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	860260;860530;861118;861302;861302;861302;865535;865535;865535;865692;866419;866419;866419;866419;871152;871152;871152;871152;874420;874420;874420;874655;874655;874655;874655;875726;876456;876524;876524;876524;876524;877483;877516;877516;877516;877516;877516;877546;877790;877790;877790;877790;877790;877939;877939;877939;877939;877939;878633;878633;878633;879078;879078;879078;879288;879288	860328;860569;861180;861393;861393;861393;865716;865716;865716;865716;866469;866469;866469;866469;871276;871276;871173;871276;874509;874509;874509;874840;874792;874840;874671;875842;876686;876686;876686;876686;876686;877631;877631;877553;877631;877631;877631;877868;877868;878182;877868;877868;877868;878272;878374;878438;878438;878438;878757;878757;878757;879639;879188;879188;879955;879955	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3205	0
ENSG00000268179.1	chr1;chr1;chr1;chr1;chr1;chr1	861264;863255;865556;865666;865990;866426	861406;863261;865660;865719;865996;866445	-;-;-;-;-;-	336	0
ENSG00000188976.6	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	879584;879584;879585;880422;880422;880437;880699;880898;880898;880898;880898;881553;881553;881553;881782;881782;881782;883511;883511;883870;883870;886507;886507;887380;887380;887792;887792;888555;888555;889162;889162;889384;889384;889806;891303;891303;891303;891475;891475;891475;892274;892274;892274;892479;892479;892479;893626;894309;894309;894595;894595;894595	880180;880180;880180;880526;880526;880526;880802;881033;880942;881033;881033;881666;881666;881666;881925;881925;882440;883612;883612;883983;883983;886618;886618;887519;887519;887980;887980;888668;888668;889272;889272;889903;889462;889903;891393;891393;891393;891595;891595;891595;892405;892405;892405;892653;893838;892653;894461;894461;894461;894636;894689;894670	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5539	0
ENSG00000187961.9	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	895967;896673;896829;897009;897206;897206;897735;898084;898107;898412;898489;898717;898717;898932;899300;899300;899487;899487;899487;899729;899729;900343	896180;896932;897130;897130;897858;897427;897851;898297;898297;898633;898633;898884;898884;899388;899388;899388;899544;899547;899560;899910;899910;901095	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3395	0
ENSG00000187583.6	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	901877;901882;901882;902084;902084;902084;905657;905657;905657;905901;905901;905901;906066;906066;906066;906255;906259;906259;906457;906457;906457;906493;906704;906704;906704;906704;907455;907455;907455;907668;907668;907668;908241;908241;908241;908566;908566;908880;908880;908880;908892;909213;909213;909213;909213;909696;909696;909696;909696;909822;909822;909822;909822;911092	901994;901994;901994;902183;902183;902183;905803;905803;905803;905981;905981;905981;906138;906386;906138;906386;906386;906386;906588;906588;906588;906588;906903;906784;906784;906784;907530;907530;907530;907804;907804;907804;908390;908390;908390;908706;908706;909020;909020;909020;909020;909431;909431;909431;909431;909744;909744;909744;909744;909968;910388;910388;910488;911245	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2833	0
ENSG00000187642.5	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	910579;910584;910585;911879;911879;911879;914261;914261;916517;916517;917445;917445	911649;911649;911649;912004;912021;912004;916037;916037;916553;916553;917473;917497	-;-;-;-;-;-;-;-;-;-;-;-	3081	0
ENSG00000272512.1	chr1	931346	933431	-	2086	0
ENSG00000188290.6	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	934342;934344;934346;934350;934906;934906;934906;934906;935072;935072;935246;935246	934812;934812;934812;934812;935476;934993;934993;934993;935167;935552;935361;935491	-;-;-;-;-;-;-;-;-;-;-;-	1118	0
ENSG00000231702.2	chr1	943456	943609	-	154	0
ENSG00000224969.1	chr1;chr1	947377;948297	947570;948573	-;-	471	0
ENSG00000187608.5	chr1;chr1	948803;949364	948956;949920	+;+	711	0
ENSG00000188157.9	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	955503;957581;969486;970247;970657;970657;976045;976045;976045;976553;976553;976858;977336;978619;978918;979203;979489;979714;980541;980739;980779;981113;981113;981344;981344;981540;981540;981777;982200;982581;982707;982855;982953;982953;983156;983156;983156;983392;983909;984247;984616;984616;984946;985283;985613;985807;985936;986106;986106;986412;986633;986633;986833;986833;987108;987108;987366;987373;988841;989133;989133;989828;989828;990204;990204	955753;957842;970083;970704;970704;970704;976105;976260;976260;976777;976777;977082;977542;978837;979112;979403;979637;979819;980657;980903;980903;981256;981256;981468;981468;981729;981645;982115;982337;982834;982834;983067;983067;983067;983218;983245;983275;983745;984439;984439;984774;984831;985175;985417;985709;985971;985971;986217;986217;986423;986749;986749;987025;987025;987195;987195;989357;987396;988873;989330;989357;989931;989931;991492;991496	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10756	0
ENSG00000242590.1	chr1;chr1	990413;991278	990595;991496	+;+	402	0
ENSG00000217801.5	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	995114;995660;996400;998459;998459;998459;998459;998860;999590;999870;999875;999898;1000732;1001210;1001210;1001210;1001210;1001329;1001967;1002946;1003249;1003957;1004588	995226;995773;996497;998581;998581;998581;998581;998946;999781;999969;999969;999969;1000855;1001654;1001385;1001836;1001836;1001821;1002047;1003026;1003383;1004104;1004735	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2171	0
ENSG00000273443.1	chr1;chr1	997588;998441	998188;998668	-;-	829	0
ENSG00000237330.2	chr1;chr1	1006346;1009396	1007955;1009687	-;-	1902	0
ENSG00000131591.13	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1017198;1017198;1017198;1017203;1017203;1017203;1017205;1017205;1017205;1017526;1017615;1017984;1018080;1018296;1019295;1019295;1019295;1019295;1019295;1019295;1019295;1019295;1019295;1019306;1019733;1019733;1019733;1019733;1019733;1019733;1019733;1019834;1019861;1019861;1019861;1019861;1019861;1019861;1019861;1019861;1019861;1019861;1019861;1020631;1020631;1021258;1021258;1021258;1021258;1021258;1021258;1021258;1021258;1021258;1021258;1021258;1021258;1021258;1021258;1022519;1022519;1022519;1022519;1022519;1022519;1022519;1022519;1022519;1022519;1022519;1022519;1022519;1022519;1022519;1022521;1022570;1022882;1022882;1022882;1022882;1022882;1022882;1022882;1022882;1022882;1022882;1022882;1022882;1022882;1022882;1022882;1022882;1022955;1025733;1025733;1025733;1025733;1025733;1025733;1025733;1025733;1025733;1025733;1025733;1025733;1025733;1025733;1025733;1025733;1025733;1025786;1026256;1026256;1026426;1026658;1026658;1026852;1026852;1026852;1026852;1026852;1026852;1026852;1026852;1026852;1026852;1026852;1026852;1026852;1026852;1026852;1026852;1026852;1026852;1026880;1027371;1027371;1027371;1027371;1027371;1027371;1027371;1027371;1027371;1027371;1027371;1027371;1027371;1027371;1027371;1027371;1027371;1027371;1027371;1027946;1027946;1041336;1041336;1041336;1042030;1050402;1050402;1051440;1051440;1051440;1051440;1051440;1051440;1051440;1051440;1051440;1051440;1051440;1051440;1051440;1051440	1018367;1018367;1018367;1018367;1018367;1018367;1018367;1018367;1019886;1017633;1018367;1018367;1018367;1018367;1019391;1019763;1019452;1019466;1019763;1019466;1019763;1019763;1019763;1019466;1019763;1019763;1019763;1019763;1019763;1019763;1019886;1019886;1019886;1019886;1019886;1019886;1019886;1019886;1019886;1019886;1019886;1019886;1019886;1020690;1020690;1021392;1021392;1021392;1021392;1021392;1021392;1021392;1021392;1021392;1021392;1021392;1021392;1021392;1021392;1022584;1022584;1022584;1022584;1022584;1022584;1022584;1022584;1023016;1022584;1022584;1022584;1022584;1022584;1022584;1022584;1022584;1022977;1022977;1022977;1022977;1022977;1022977;1022977;1022977;1022977;1022977;1022977;1022977;1022977;1022977;1022977;1022977;1022977;1025808;1025808;1025967;1025808;1025808;1025808;1025808;1025808;1025808;1025808;1026754;1025808;1025808;1025808;1025808;1025808;1025808;1025808;1026363;1026363;1026945;1026754;1026754;1026945;1026945;1026989;1026945;1026945;1026945;1026945;1026945;1026945;1027554;1026945;1026945;1026945;1026945;1026945;1026945;1026945;1026945;1026945;1027483;1027483;1027483;1027483;1027674;1027483;1027483;1027483;1027483;1027483;1027483;1027483;1027483;1027483;1027483;1027457;1027483;1027483;1027483;1028193;1028193;1041429;1041429;1041507;1042251;1050455;1050455;1051467;1051469;1051741;1051736;1051736;1051623;1051475;1051469;1051469;1051478;1051475;1051736;1051736;1051461	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6322	0
ENSG00000223823.1	chr1;chr1;chr1	1072397;1076205;1078119	1072490;1076412;1079436	+;+;+	1620	0
ENSG00000207730.1	chr1	1102484	1102578	+	95	0
ENSG00000207607.1	chr1	1103243	1103332	+	90	0
ENSG00000198976.1	chr1	1104385	1104467	+	83	0
ENSG00000272141.1	chr1	1104737	1105723	+	987	0
ENSG00000205231.1	chr1;chr1	1108436;1114745	1111776;1114935	-;-	3532	0
ENSG00000162571.9	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1109264;1109283;1109286;1109646;1109665;1109804;1109804;1109901;1114569;1114569;1115037;1115037;1115077;1115414;1115414;1115414;1115863;1115863;1115863;1115864;1115917;1116111;1116111;1116111;1116111;1117121;1117121;1117121;1117121;1117741;1117741;1117741;1117741;1118256;1118256;1118256;1118256;1119300;1119300;1119300;1119300;1120349;1120349;1120349;1120416;1131766;1131980;1131980;1131980;1132473;1132473;1132473;1132818;1132818;1132818	1109306;1109306;1109306;1109701;1109701;1109869;1109869;1110414;1114713;1114713;1115117;1115117;1115233;1115720;1115720;1115720;1115981;1115981;1115981;1116240;1115981;1116264;1116240;1116240;1116240;1117195;1117195;1117195;1117195;1117826;1117826;1117826;1117826;1118427;1118427;1118427;1118427;1119307;1119471;1119471;1119471;1121244;1120489;1120489;1120489;1131868;1132096;1132096;1132096;1132566;1132566;1132566;1132855;1133313;1133315	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3943	0
ENSG00000186891.9	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	1138888;1138891;1139224;1139224;1139414;1139414;1139435;1139779;1139779;1139779;1139779;1140750;1140750;1140750;1140750;1141765;1141765;1141765	1139340;1139348;1139348;1139348;1139616;1139616;1139616;1139866;1139866;1139866;1139866;1140872;1140872;1141060;1140872;1141951;1142071;1141951	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1370	0
